extinct,no longer active
torque,twisting force causing rotation
strive,to make great efforts, to struggle"
scribble,write hastily
reconcile,settle a quarrel restore peace
connote,Suggest or imply in addition to the precise, literal meaning"
mite,A very small amount, portion, or particle"
dormant,in a state of inactivity but awaiting development
animosity,strong dislike
auxiliary,helping; supporting
foster,nurture; care for
meticulous,giving great attention to details
tonic,something giving strength or energy
clientele,customers
sponge,porous rubber for washing live at once expense
immutable,that cannot be changed
cumbersome,burdensome; heavy and awkward to carry
recuperate,become strong after illness loss exhaustion
riddle,puzzling person or thing
amalgamate,mix; combine; unite societies
introvert,one who turns towards himself
chisel,steel tool for shaping materials
infuriate,fill with fury or rage
garrulous,too talkative
edible,fit to be eaten/not poisonous
connoisseur,a person with good judgement (e.g.. in art)
fleet,number of ships; quick-moving
endorse,write one's name on the back of
sporadic,happening from time to time
reiterate,say or do again several times
redeem,get back by payment compensate
drowsiness,feeling sleepy half asleep
pivotal,of great importance (others depend on it)
shunned,avoided, kept away from"
eloquence,fluent speaking skillful use of language
sophisticated,complex; subtle; refined
apartheid,brutal racial discrimination
sawdust,tiny bits of wood
cordial,warm and sincere
edify,instruct; correct morally
flop,fail/move/fall clumsily
ascend,go or come up
bogus,sham; counterfeit; not genuine
implicit,implied though; not plainly expressed
turmoil,trouble disturbance
conjoin,to join together
stride,walk with long steps
solvent,of the power of forming a solution
apt,well-suited; quick-witted
affable,polite and friendly
grievous,causing grief or pain; serious dire grave
heterogeneous,made up of different kinds
eradicate,get rid of pull up by the roots
submerge,put under water liquid sink out of sight
acumen,Keen, quick, accurate insight or judgment"
warrant,authority written order guarantee
accolade,praise; approval
abscond,to go away suddenly (to avoid arrest)
combustion,process of burning
limp,lacking strength; walking unevenly
loll,rest to sit or stand in a lazy way hang (dog's tongue)
aggravate,make worse; irritate
equilibrium,state of being balanced
skit,short piece of humorous writing
arcane,known or understood by very few
boisterous,noisy; restraint
turbulence,being uncontrollably violent
derivative,unoriginal; obtained from another source
arrogance,proud; superior manner of behaviour
centurion,leader of a unit of 100 soldiers
allegiance,duty support loyalty
enzyme,catalyst
braggart,boastful
bewilder,puzzle; confuse
shard,A piece of broken pottery
antidote,medicine used against a poison or a disease
euphoria,elation state of pleasant excitement
salvage,the saving of property from loss
adulteration,making unpure; poorer in quality
liberality,free giving; generosity
retrograde,receding
colloquial,involving or using conversation.
agile,active; quick-moving
jabber,talk excitedly; utter rapidly
evoke,call up bring out
erratic,irregular in behaviour or opinion
nihilism,total rejection of all religious and moral beliefs
appease,make quiet or calm
indulgent,inclined to indulge
mesmerize,hypnotize
hypocrisy,falsely making oneself appear to be good
perish,be destroyed decay
incongruous,out of place; not in harmony or agreement
ambiguous,doubtful; uncertain
ambidextrous,able to use the left hand or the right equally well
mischievous,harmful; causing mischief
plea,request
sanction,approval (by authority) penalty
aberration,straying away from what is normal
offhand,Without preparation or forethought
lampoon,publicly mock or ridicule
weigh,measure how heavy something is
dullard,a stupid, insensitive person"
entice,attract, lure"
abstruse,difficult to comprehend; obscure
parenthesis,sentence within another one something separated
catalyst,substance that causes speeding up
writ,written order
implosion,collapse; bursting inward
ameliorate,improve; make better
moderation,quality of being limited; not extreme
inclined,directing the mind in a certain direction
sheath,cover for the blade of a weapon or a tool
abhor,to hate; to detest
cryptic,secret with a hidden meaning
unscathed,unharmed unhurt
suffocate,cause or have difficulty in breathing
hospitable,liking to give hospitality
repulsive,causing a feeling of disgust
brass,yellow metal (mixing copper and zinc)
relapse,fall back again
beguile,mislead or delude; cheat; pass time
divergence,getting farther apart from a point
curriculum,course of study
knit,draw together; unite firmly
acclaimed,welcomed with shouts and approval
fidelity,loyalty accuracy
narcissism,Self-love
dislodge,move force from the place occupied
permeate,spread into every part of
concur,agree in opinion happen together
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
satiate,satisfy fully
commuter,person who travels regularly
judicious,sound in judgment; wise
calipers,metal supports attached to the legs measuring instrument
disrobe,undress
eulogy,formal praise panegyric
coagulation,change to a thick and solid state
misogynist,one who hates women/females
yeoman,man owning small estate; middle-class farmer
complaisant,trying to please; obliging
ingest,take in by swallowing
correlate,have a mutual relation
abide,be faithful; to endure
shallow,little depth; not earnest
repel,refuse to accept/cause dislike
massacre,cruel killing of a large number of people
scent,smell (especially pleasant)
anguish,severe suffering
tractable,easily controlled or guided
alloy,to debase by mixing with something inferior
stray,wander lose one's way
impromptu,without preparation
engulf,swallow up
encapsulate,enclose in capsule
brittle,easily broken
malleable,yielding easily shaped; moldable; adapting
gallant,brave,behaves well with women"
yarn,tale story fibers for knitting
Lambaste,attack verbally
misanthrope,person who hates mankind
moribund,in a dying state; near death
commemorate,keep the memory of
ambivalent,having both of two contrary meanings
premature,doing or happening something before the right time
grumble,to complain
legacy,Bequest or inheritance
indigenous,native
disallow,refuse to allow or accept as a correct
partisan,one-sided committed to a party biased or prejudiced
somersault,rolling backward or forward (not sideways) movement
reminiscent,suggest something in the past
disproof,proof to the contrary
clot,half-solid lump formed from liquid
surcharge,additional load/charge
livid,Furiously angry, enraged"
extinguish,end the existence of/wipe or put out
vivacious,lively high-spirited
benefactor,person who has given help
sadistic,Cruel
asterisk,the mark * (e.g.. omitted letters)
superimpose,put something on the top
impede,hinder; get in the way of
refine,make or become pure cultural
dote,show much fondness center one's attention
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
elaborate,worked out with much care in great detail
affinity,close connection; relationship
enduring,lasting
defer,postpone
indistinct,not easily heard; seen clearly marked
presentiment,anticipatory fear; premonition
extralegal,outside the law
pluck,pull the feathers off pick (e.g.. flowers)
fragile,easily injured broken or destroyed
endeavor,to make an effort, to try very hard"
pest,destructive thing or a person who is nuisance
sanity,health of mind soundness of judgment
woo,try to win
embezzle,use in a wrong way for one's own benefit
predominate,have more power than others
paradigm,a model example or pattern
ossified,turned to bone; hardened like bone; Inflexible
chortle,loud chuckle of pleasure or amusement
renowned,celebrated; famous
resuscitation,coming back to consciousness
vigorous,strong energetic
treacherous,not to be trusted, perfidious"
alleviate,make (pain) easier to bear
spear,weapon with a metal point on a long shaft
evasive,tending to evade
constrict,make tight or smaller
sluggard,lazy slow-moving person
dangle,hand or swing loosely
re
